[[7.05239200e+02 5.19171192e+01]
 [7.05282470e+02 5.77159526e+02]
 [7.05325810e+02 0.00000000e+00]
 [7.05369080e+02 8.41424747e+02]
 [7.05412350e+02 3.67228744e+03]
 [7.05455690e+02 3.48527533e+03]
 [7.05498960e+02 4.43741299e+03]
 [7.05542300e+02 4.55304642e+03]
 [7.05585570e+02 2.25318914e+03]
 [7.05628910e+02 1.15839583e+03]
 [7.05672180e+02 2.72711872e+03]
 [7.05715520e+02 5.11515045e+03]
 [7.05758790e+02 1.16411824e+03]
 [7.05802120e+02 4.13196843e+03]
 [7.05845460e+02 3.93826817e+03]
 [7.05888790e+02 4.10588537e+03]
 [7.05932070e+02 3.98592935e+03]
 [7.05975400e+02 6.93584660e+03]
 [7.06018740e+02 5.42592859e+03]
 [7.06062070e+02 2.40584611e+03]
 [7.06105410e+02 4.67282054e+03]
 [7.06148740e+02 6.20297766e+03]
 [7.06192080e+02 7.50212698e+03]
 [7.06235410e+02 8.28484897e+03]
 [7.06278750e+02 9.86368314e+03]
 [7.06322080e+02 1.18913745e+04]
 [7.06365480e+02 1.15903178e+04]
 [7.06408810e+02 1.52405484e+04]
 [7.06452150e+02 1.50133609e+04]
 [7.06495540e+02 2.50103956e+04]
 [7.06538880e+02 3.28934373e+04]
 [7.06582210e+02 4.77989430e+04]
 [7.06625610e+02 7.62308731e+04]
 [7.06668950e+02 1.24697210e+05]
 [7.06712340e+02 1.92850416e+05]
 [7.06755680e+02 2.41044568e+05]
 [7.06799070e+02 2.34088873e+05]
 [7.06842470e+02 1.88661409e+05]
 [7.06885800e+02 4.04115302e+04]
 [7.06929200e+02 4.66155192e+04]
 [7.06972600e+02 3.28796767e+04]
 [7.07015990e+02 2.13343864e+04]
 [7.07059390e+02 1.34835932e+04]
 [7.07102720e+02 1.24826724e+04]
 [7.07146120e+02 1.36560540e+04]
 [7.07189510e+02 8.82140352e+03]
 [7.07232910e+02 6.96186433e+03]
 [7.07276370e+02 4.23696402e+03]
 [7.07319760e+02 5.82274416e+03]
 [7.07363160e+02 7.30276619e+03]
 [7.07406560e+02 6.95202559e+03]
 [7.07449950e+02 3.91082203e+03]
 [7.07493350e+02 5.39749042e+03]
 [7.07536800e+02 6.40008285e+03]
 [7.07580200e+02 6.44265891e+03]
 [7.07623660e+02 4.95032057e+03]
 [7.07667050e+02 4.20509967e+03]
 [7.07710450e+02 4.17212324e+03]
 [7.07753910e+02 3.13432935e+03]
 [7.07797300e+02 2.96015899e+03]
 [7.07840760e+02 5.11745204e+03]
 [7.07884220e+02 6.26906281e+03]
 [7.07927610e+02 5.35172680e+03]
 [7.07971070e+02 6.07063738e+03]
 [7.08014530e+02 5.12039672e+03]
 [7.08057980e+02 3.13143742e+02]
 [7.08101380e+02 0.00000000e+00]
 [7.08144840e+02 1.11441736e+03]
 [7.08188290e+02 1.30647627e+03]]
